donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
15496,"H0351.1015","49 years","C2C200",127686995,124137414,149,100,80,4044,"inferior frontal gyrus, orbital part","orIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157773032,155844578,140,116,63,4044,"inferior frontal gyrus, orbital part","orIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",458,28161,146,88,61,4038,"inferior frontal gyrus, triangular part","trIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4635,984938,129,85,44,4038,"inferior frontal gyrus, triangular part","trIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",10965,1266555,128,113,44,4038,"inferior frontal gyrus, triangular part","trIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126426473,1395869,134,121,44,4038,"inferior frontal gyrus, triangular part","trIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687071,124029938,145,96,73,4038,"inferior frontal gyrus, triangular part","trIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157773000,155848795,138,105,62,4038,"inferior frontal gyrus, triangular part","trIFG","E8C659",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",257,27841,98,95,33,4900,"inferior rostral gyrus","IRoG","E8C859",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4547,977530,99,91,25,4900,"inferior rostral gyrus","IRoG","E8C859",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11262,1275894,95,118,75,4900,"inferior rostral gyrus","IRoG","E8C859",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126426475,1395896,97,126,58,4900,"inferior rostral gyrus","IRoG","E8C859",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",-1,-1,-1,-1,-1,4900,"inferior rostral gyrus","IRoG","E8C859",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772994,155735102,99,114,36,4900,"inferior rostral gyrus","IRoG","E8C859",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",281,27854,125,90,36,4059,"lateral orbital gyrus","LOrG","E8CA59",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4651,984943,115,98,43,4059,"lateral orbital gyrus","LOrG","E8CA59",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11012,1266590,117,125,44,4059,"lateral orbital gyrus","LOrG","E8CA59",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126426505,1395871,123,131,44,4059,"lateral orbital gyrus","LOrG","E8CA59",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687065,121112951,128,117,32,4059,"lateral orbital gyrus","LOrG","E8CA59",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772870,155779804,124,118,48,4059,"lateral orbital gyrus","LOrG","E8CA59",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",131,27166,105,98,25,4050,"medial orbital gyrus","MOrG","E8CB59",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4658,983527,103,105,43,4050,"medial orbital gyrus","MOrG","E8CB59",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11053,1265850,102,133,59,4050,"medial orbital gyrus","MOrG","E8CB59",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126431787,1403313,112,137,68,4050,"medial orbital gyrus","MOrG","E8CB59",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687103,123622765,108,137,73,4050,"medial orbital gyrus","MOrG","E8CB59",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772970,155850204,106,135,64,4050,"medial orbital gyrus","MOrG","E8CB59",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",986,39361,115,39,86,4028,"middle frontal gyrus","MFG","E8CD59",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4556,980080,130,43,65,4028,"middle frontal gyrus","MFG","E8CD59",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11132,1270066,116,60,74,4028,"middle frontal gyrus","MFG","E8CD59",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126431705,1403304,120,62,65,4028,"middle frontal gyrus","MFG","E8CD59",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127687039,123650689,114,59,70,4028,"middle frontal gyrus","MFG","E8CD59",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157772972,156431526,129,44,86,4028,"middle frontal gyrus","MFG","E8CD59",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",674,37270,96,29,99,4071,"paracentral lobule, anterior part","PCLa","E8CF59",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4897,997594,95,38,111,4071,"paracentral lobule, anterior part","PCLa","E8CF59",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",11261,1280393,96,37,111,4071,"paracentral lobule, anterior part","PCLa","E8CF59",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126434352,1408336,99,35,108,4071,"paracentral lobule, anterior part","PCLa","E8CF59",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",139409799,127050746,100,69,118,4071,"paracentral lobule, anterior part","PCLa","E8CF59",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",158158259,156684997,91,54,107,4071,"paracentral lobule, anterior part","PCLa","E8CF59",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",-1,-1,-1,-1,-1,4065,"paraterminal gyrus","PTG","E8D059",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4921,998634,91,86,69,4065,"paraterminal gyrus","PTG","E8D059",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",-1,-1,-1,-1,-1,4065,"paraterminal gyrus","PTG","E8D059",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",-1,-1,-1,-1,-1,4065,"paraterminal gyrus","PTG","E8D059",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",-1,-1,-1,-1,-1,4065,"paraterminal gyrus","PTG","E8D059",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",-1,-1,-1,-1,-1,4065,"paraterminal gyrus","PTG","E8D059",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",565,38511,103,106,65,4068,"parolfactory gyri","PaOG","E8D259",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4573,978622,119,102,71,4068,"parolfactory gyri","PaOG","E8D259",4009,"frontal lobe","FL","E8CD59"
12876,"H0351.1009","57 years","509800",-1,-1,-1,-1,-1,4068,"parolfactory gyri","PaOG","E8D259",4009,"frontal lobe","FL","E8CD59"
14380,"H0351.1012","31 years","960050",126432053,1404118,92,120,77,4068,"parolfactory gyri","PaOG","E8D259",4009,"frontal lobe","FL","E8CD59"
15496,"H0351.1015","49 years","C2C200",127686943,121130689,95,134,55,4068,"parolfactory gyri","PaOG","E8D259",4009,"frontal lobe","FL","E8CD59"
15697,"H0351.1016","55 years","EB3B00",157773002,155850203,93,135,64,4068,"parolfactory gyri","PaOG","E8D259",4009,"frontal lobe","FL","E8CD59"
9861,"H0351.2001","24 years","EC891D",403,32231,73,107,59,4056,"posterior orbital gyrus","POrG","E8D459",4009,"frontal lobe","FL","E8CD59"
10021,"H0351.2002","39 years","0079C0",4596,978444,66,103,69,4056,"posterior orbital gyrus","POrG","E8D459",4009,"frontal lobe","FL","E8CD59"
